#{"t_start": 1745585070.5365307, "env_id": "intersection-v0"}
r,l,t
5.0,5,318.660836
5.0,5,318.965058
5.0,5,319.211675
5.0,5,319.539442
-3.0,2,319.719187
5.0,5,320.173127
-3.0,2,320.358917
5.0,5,320.658237
5.0,5,320.878247
-2.0,3,321.074822
5.0,5,321.379903
5.0,5,321.663408
-2.175214,3,321.958517
5.0,5,322.312344
-2.0,3,322.634033
-2.468761,3,322.957042
-2.0,3,323.198939
5.0,5,323.490534
4.0,4,323.782963
5.0,5,324.155224
-1.0,4,324.456097
5.0,5,324.730385
-2.0,3,324.961627
-1.0,4,325.203696
5.0,5,325.600006
-2.0,3,325.881508
5.0,5,326.313315
-2.0,3,326.607556
-1.0,4,326.864191
5.0,5,327.256711
-2.0,3,327.580108
5.0,5,327.867175
2.0,3,328.011811
-0.131712,5,328.238826
5.0,5,328.438828
-2.0,3,328.621652
3.0,4,328.886115
5.0,5,329.182917
-2.0,3,329.40968
5.0,5,329.869519
4.0,4,330.180821
5.0,5,330.496496
5.0,5,330.951611
5.0,5,331.215839
